Rank,Release Group,Worldwide,Domestic,%,Foreign
374,White Bird in a Blizzard,"$469,701","$33,821",92.8%,"$435,880"
375,Last Days in Vietnam,"$466,114","$466,114",-,-
376,Deepsea Challenge,"$462,959","$235,659",49.1%,"$227,300"
377,The Bag Man,"$461,780","$56,574",87.7%,"$405,206"
378,Desert Dancer,"$438,165","$155,271",64.6%,"$282,894"
379,Bjork: Biophilia Live,"$433,686","$127,754",70.5%,"$305,932"
380,God Help the Girl,"$423,306","$102,757",75.7%,"$320,549"
381,Behaving Badly,"$422,697",-,100%,"$422,697"
382,She's Beautiful When She's Angry,"$421,573","$421,573",-,-
383,God's Pocket,"$403,713","$169,976",57.9%,"$233,737"
384,Cuban Fury 2014 Re-release,"$392,705","$92,384",76.5%,"$300,321"
385,Bethlehem,"$384,670","$201,700",47.6%,"$182,970"
386,Glen Campbell: I'll Be Me,"$365,422","$365,422",-,-
387,These Final Hours,"$360,234",-,100%,"$360,234"
388,Happy Ending,"$359,542","$313,770",12.7%,"$45,772"
389,National Gallery,"$354,971","$253,941",28.5%,"$101,030"
390,Marie's Story 2014 Re-release,"$348,906","$11,720",96.6%,"$337,186"
391,The Green Prince,"$339,208","$258,237",23.9%,"$80,971"
392,Elaine Stritch: Shoot Me,"$327,452","$327,452",-,-
393,Action Jackson,"$315,609","$256,872",18.6%,"$58,737"
394,The Hornet's Nest,"$312,706","$312,706",-,-
395,Dancing in Jaffa,"$311,001","$151,098",51.4%,"$159,903"
396,I Am Eleven 2014 Re-release,"$310,116","$310,116",-,-
397,The Amazing Catfish,"$308,349","$11,342",96.3%,"$297,007"
398,Half of a Yellow Sun,"$306,393","$54,529",82.2%,"$251,864"
399,The Unknown Known,"$301,604","$276,497",8.3%,"$25,107"
400,Jinn,"$297,381","$202,348",32%,"$95,033"
401,Big Bad Wolves,"$291,239","$33,232",88.6%,"$258,007"
402,Best Night Ever,"$289,511",-,100%,"$289,511"
403,Welcome to New York,"$288,837",-,100%,"$288,837"
404,Antarctica: A Year on Ice,"$288,757","$288,757",-,-
405,The Last of Robin Hood,"$288,545","$288,545",-,-
406,The Kindergarten Teacher,"$284,065","$36,190",87.3%,"$247,875"
407,Life After Beth,"$274,717","$88,273",67.9%,"$186,444"
408,Falcon Rising,"$267,476","$11,774",95.6%,"$255,702"
409,Raja Natwarlal,"$256,978","$131,105",49%,"$125,873"
410,Alive Inside: A Story of Music and Memory,"$256,682","$256,682",-,-
411,Mistaken for Strangers,"$253,285","$138,991",45.1%,"$114,294"
412,Lilting,"$247,377","$27,054",89.1%,"$220,323"
413,The Galapagos Affair: Satan Came to Eden,"$247,159","$247,159",-,-
414,Road to Ninja - Naruto the Movie 2014 Re-release,"$240,687","$43,171",82.1%,"$197,516"
415,Art and Craft,"$235,037","$235,037",-,-
416,Dr. Cabbie,"$225,490","$225,490",-,-
417,10.000 Km,"$222,530","$12,423",94.4%,"$210,107"
418,Supermensch: The Legend of Shep Gordon,"$220,065","$213,064",3.2%,"$7,001"
419,Rob the Mob,"$209,613","$208,693",0.4%,$920
420,The Right Kind of Wrong,"$208,105","$2,098",99%,"$206,007"
421,Under the Electric Sky,"$207,584","$207,584",-,-
422,Advanced Style,"$207,231","$87,879",57.6%,"$119,352"
423,Charlie's Country,"$202,966","$42,937",78.8%,"$160,029"
424,Listen Up Philip,"$200,126","$200,126",-,-
425,A Summer's Tale,"$198,126","$198,126",-,-
426,Code Black,"$190,229","$190,229",-,-
427,In the Basement,"$186,036","$3,643",98%,"$182,393"
428,1001 Grams,"$181,030","$10,983",93.9%,"$170,047"
429,Anita: Speaking Truth to Power,"$176,979","$176,979",-,-
430,Afternoon of a Faun: Tanaquil Le Clercq,"$172,450","$172,450",-,-
431,Abuse of Weakness,"$171,660","$31,611",81.6%,"$140,049"
432,United Passions,"$171,511",$607,99.6%,"$170,904"
433,The Film Critic,"$165,891","$7,358",95.6%,"$158,533"
434,Nas: Time Is Illmatic,"$164,540","$164,540",-,-
435,Eastern Boys,"$164,290","$16,831",89.8%,"$147,459"
436,Keep on Keepin' On,"$163,745","$163,745",-,-
437,Sinbad: The Fifth Voyage,"$159,862","$159,862",-,-
438,Citizen Koch,"$153,908","$153,908",-,-
439,Finding Fela,"$152,346","$120,980",20.6%,"$31,366"
440,Godzilla 2014 Re-release,"$150,191","$150,191",-,-
441,Watermark,"$146,572","$84,464",42.4%,"$62,108"
442,Kids for Cash,"$143,178","$143,178",-,-
443,May in the Summer,"$141,605","$22,004",84.5%,"$119,601"
444,Gore Vidal: The United States of Amnesia,"$140,164","$140,164",-,-
445,Coherence,"$139,745","$102,617",26.6%,"$37,128"
446,Flowers,"$139,421","$61,568",55.8%,"$77,853"
447,The Polar Express 2014 IMAX Release,"$139,055","$139,055",-,-
448,Zero Motivation,"$138,609","$116,044",16.3%,"$22,565"
449,Redwood Highway,"$134,049","$134,049",-,-
450,The Great Museum,"$133,905","$18,020",86.5%,"$115,885"
451,The Jewish Cardinal,"$133,232","$133,232",-,-
452,The Golden Era 2014 Re-release,"$128,926","$102,931",20.2%,"$25,995"
453,The Adventurer: The Curse of the Midas Box,"$128,471","$6,399",95%,"$122,072"
454,Knights of Badassdom,"$123,854","$123,854",-,-
455,Afflicted,"$121,179","$121,179",-,-
456,Better Living Through Chemistry,"$120,823","$75,143",37.8%,"$45,680"
457,Jauja 2014 Re-release,"$117,117","$60,231",48.6%,"$56,886"
458,God the Father,"$113,276","$113,276",-,-
459,Penton: The John Penton Story,"$112,159","$112,159",-,-
460,Rich Hill,"$111,376","$111,376",-,-
461,The Overnighters,"$110,763","$110,763",-,-
462,Duran Duran: Unstaged,"$110,746","$110,746",-,-
463,Anohana the Movie: The Flower We Saw That Day (Ano hi mita hana no namae wo bokutachi wa mada shiran,"$109,630","$109,630",-,-
464,Kidnapping of Michel Houellebecq,"$107,641","$11,546",89.3%,"$96,095"
465,Revenge of the Green Dragons,"$107,412",-,100%,"$107,412"
466,Ivory Tower,"$106,771","$106,771",-,-
467,Six Dance Lessons in Six Weeks,"$106,323","$106,323",-,-
468,Korengal,"$101,310","$101,310",-,-
469,Beyond Sight: The Derek Rabelo Story,"$101,074","$101,074",-,-
470,Hiroshima Mon Amour 2014 Re-release,"$96,439","$96,439",-,-
471,Ardor,"$95,549","$18,565",80.6%,"$76,984"
472,Generation War,"$91,595","$91,595",-,-
473,Heroic Antics,"$90,785","$63,649",29.9%,"$27,136"
474,Pump,"$89,787","$89,787",-,-
475,The Principle,"$89,543","$89,543",-,-
476,Visitors,"$84,577","$84,577",-,-
477,Hateship Loveship,"$83,008","$54,030",34.9%,"$28,978"
478,Alien Abduction,"$82,725","$12,897",84.4%,"$69,828"
479,12 O'Clock Boys,"$82,614","$82,614",-,-
480,V/H/S Viral,"$82,409","$2,756",96.7%,"$79,653"
481,Water & Power,"$82,312","$82,312",-,-
482,Camp X-Ray,"$79,624","$13,302",83.3%,"$66,322"
483,Fort McCoy,"$78,948","$78,948",-,-
484,The Art of the Steal,"$77,450","$64,065",17.3%,"$13,385"
485,The Missing Picture,"$76,933","$52,164",32.2%,"$24,769"
486,Whitey: United States of America v. James J. Bulger,"$75,881","$75,881",-,-
487,Swim Little Fish Swim,"$75,504","$3,877",94.9%,"$71,627"
488,We Come as Friends,"$74,633","$50,921",31.8%,"$23,712"
489,Stations of the Cross,"$74,509","$1,505",98%,"$73,004"
490,Veil of Tears,"$72,078","$72,078",-,-
491,Flamenco Flamenco 2014 Re-release,"$71,732","$71,732",-,-
492,"Je t'aime, je t'aime 2014 Re-release","$71,717","$71,717",-,-
493,The Better Angels,"$70,918","$70,918",-,-
494,Siddharth,"$69,310","$60,537",12.7%,"$8,773"
495,Take Me to the River,"$68,598","$68,598",-,-
496,For No Good Reason,"$67,421","$67,421",-,-
497,Through a Lens Darkly: Black Photographers and the Emergence of a People,"$65,169","$65,169",-,-
498,Jealousy,"$63,946","$63,946",-,-
499,No Tears for the Dead,"$63,063","$63,063",-,-
500,Amour Fou,"$61,693","$13,702",77.8%,"$47,991"
501,Wetlands 2014 Re-release,"$60,230","$59,478",1.2%,$752
502,Decoding Annie Parker,"$60,048","$48,390",19.4%,"$11,658"
503,Frontera,"$59,696","$59,696",-,-
504,Cheap Thrills,"$59,424","$59,424",-,-
505,The One I Wrote for You,"$58,872","$58,872",-,-
506,Sagrada: The Mystery of Creation 2014 Re-release,"$58,755","$58,755",-,-
507,The Conformist 2014 Re-release,"$58,657","$58,657",-,-
508,Run & Jump,"$57,189","$20,061",64.9%,"$37,128"
509,Big Men,"$56,286","$56,286",-,-
510,Hellion,"$55,708","$55,708",-,-
511,Zombeavers,"$54,985","$14,947",72.8%,"$40,038"
512,Last Passenger,"$54,110","$14,806",72.6%,"$39,304"
513,Low Down,"$54,051","$54,051",-,-
514,At Middleton,"$53,837","$53,837",-,-
515,Ping Pong Summer,"$52,909","$52,909",-,-
516,To Be Takei,"$52,823","$52,823",-,-
517,Salvation Army,"$52,511","$3,929",92.5%,"$48,582"
518,A Tale of Winter,"$52,431","$23,268",55.6%,"$29,163"
519,The Retrieval,"$50,257","$50,257",-,-
520,The Discoverers,"$50,020","$50,020",-,-
521,NOW: In the Wings on a World Stage,"$49,591","$49,591",-,-
522,Shirin in Love,"$49,254","$49,254",-,-
523,Lucky Them,"$48,995","$48,995",-,-
524,The Internet's Own Boy: The Story of Aaron Swartz,"$48,911","$48,911",-,-
525,A Birder's Guide to Everything,"$48,713","$48,713",-,-
526,American Mustang,"$48,700","$48,700",-,-
527,Alleluia,"$48,426","$6,334",86.9%,"$42,092"
528,Alphaville,"$47,696","$47,696",-,-
529,A Master Builder,"$46,874","$46,874",-,-
530,Monk with a Camera,"$45,938","$45,938",-,-
531,Filmistaan,"$45,406","$45,406",-,-
532,Return to the Hiding Place,"$45,405","$45,405",-,-
533,Ai Weiwei: The Fake Case,"$45,255","$45,255",-,-
534,There's No Place Like Utopia,"$45,254","$45,254",-,-
535,The Dog,"$44,581","$44,581",-,-
536,Life of a King,"$44,161","$6,547",85.2%,"$37,614"
537,If You Build It,"$43,393","$43,393",-,-
538,Next Goal Wins,"$43,089","$43,089",-,-
539,Interior. Leather Bar.,"$42,534","$42,534",-,-
540,Teenage,"$40,169","$40,169",-,-
541,Child of God,"$39,324","$39,324",-,-
542,The Expedition to the End of the World,"$39,115","$39,115",-,-
543,Adult World,"$37,887","$25,368",33%,"$12,519"
544,Not Cool,"$36,026","$36,026",-,-
545,Le Jour Se Leve,"$35,321","$35,321",-,-
546,The Decent One,"$35,282","$21,327",39.6%,"$13,955"
547,That Man from Rio,"$35,144","$35,144",-,-
548,Beneath the Harvest Sky,"$34,768","$34,768",-,-
549,This Ain't No Mouse Music,"$34,754","$34,754",-,-
550,Rakuen Tsuiho: Expelled from Paradise,"$34,510","$34,510",-,-
551,Rocks in My Pockets,"$34,236","$34,236",-,-
552,It Felt Like Love,"$33,817","$33,817",-,-
553,Closed Curtain,"$33,735","$28,098",16.7%,"$5,637"
554,The Hero of Color City,"$32,188","$32,188",-,-
555,The Passionate Thief,"$31,539","$31,539",-,-
556,"2 Autumns, 3 Winters","$30,985","$5,819",81.2%,"$25,166"
557,Documented,"$30,662","$30,662",-,-
558,Happy Christmas,"$30,312","$30,312",-,-
559,Southern Baptist Sissies,"$30,160","$30,160",-,-
560,A Long Way Off,"$30,104","$30,104",-,-
561,Manakamana,"$30,029","$30,029",-,-
562,Yellow Day,"$29,656","$29,656",-,-
563,Othello,"$28,980","$28,980",-,-
564,Stations of the Elevated,"$28,516","$28,516",-,-
565,The King and the Mockingbird 2014 Re-release,"$27,513","$27,513",-,-
566,Last Weekend,"$27,053","$27,053",-,-
567,Level Five,"$27,000","$27,000",-,-
568,Elena,"$25,788","$25,788",-,-
569,Christian Mingle,"$25,480","$25,480",-,-
570,Born to Fly: Elizabeth Streb vs. Gravity,"$24,630","$24,630",-,-
571,Honeymoon,"$24,343","$9,318",61.7%,"$15,025"
572,Emoticon ;),"$23,881","$23,881",-,-
573,Happy Valley,"$23,868","$23,868",-,-
574,Believe Me,"$23,419","$23,419",-,-
575,History of Jazz: Oxygen for the Ears,"$23,048","$23,048",-,-
576,Video Games: The Movie,"$23,043","$23,043",-,-
577,Memphis,"$21,286","$21,286",-,-
578,NightLights,"$21,147","$21,147",-,-
579,The Sacrifice 2014 Re-release,"$20,945","$20,945",-,-
580,Lekar Hum Deewana Dil,"$20,874","$20,874",-,-
581,The Great Flood,"$20,694","$20,694",-,-
582,Coming Up Roses 2014 Re-release,"$20,567","$20,567",-,-
583,The Past is a Grotesque Animal,"$20,056","$20,056",-,-
584,Uzumasa Limelight,"$19,597","$19,597",-,-
585,Comet,"$19,530","$8,623",55.8%,"$10,907"
586,A Picture of You,"$19,480","$19,480",-,-
587,Guardian Angel,"$19,480","$19,480",-,-
588,Actress,"$19,365","$19,365",-,-
589,Peter Brook: The Tightrope,"$19,365","$19,365",-,-
590,Watchers of the Sky,"$19,339","$19,339",-,-
591,The Kill Team,"$18,983","$18,983",-,-
592,Test,"$18,823","$18,823",-,-
593,Tosca's Kiss,"$18,236","$18,236",-,-
594,Who is Dayani Cristal?,"$18,190","$18,190",-,-
595,On Tour with Pina Bausch,"$18,016","$18,016",-,-
596,Kelly & Cal,"$17,702","$17,702",-,-
597,The Homestretch,"$17,306","$17,306",-,-
598,Stand Clear of the Closing Doors,"$17,282","$17,282",-,-
599,Accident 2014 Re-release,"$17,161","$17,161",-,-
600,Goodbye to All That,"$16,986","$16,986",-,-
601,Hank and Asha,"$16,878","$16,878",-,-
602,Magician: The Astonishing Life and Work of Orson Welles,"$16,400","$16,400",-,-
603,Levitated Mass,"$16,086","$16,086",-,-
604,The Olivia Experiment,"$15,122","$15,122",-,-
605,Barefoot,"$15,071","$15,071",-,-
606,Horses of God 2014 Re-release,"$14,817","$14,817",-,-
607,Exhibition,"$14,378","$14,344",0.2%,$34
608,The Pretty One,"$13,769","$13,769",-,-
609,Fifi Howls from Happiness,"$13,614","$13,614",-,-
610,Stray Dogs,"$13,573","$10,433",23.1%,"$3,140"
611,War of the Worlds: Goliath,"$13,385","$13,385",-,-
612,Days and Nights,"$13,243","$13,243",-,-
613,Sol LeWitt,"$13,146","$13,146",-,-
614,The Pleasures of Being Out of Step,"$13,137","$13,137",-,-
615,K2: Siren of the Himalayas,"$12,959","$12,959",-,-
616,Concerning Violence,"$12,680","$12,680",-,-
617,Bhopal: A Prayer for Rain,"$12,628","$12,628",-,-
618,Boy Meets Girl,"$12,589","$12,589",-,-
619,Touch the Wall,"$12,156","$12,156",-,-
620,In No Great Hurry: 13 Lessons in Life with Saul Leiter,"$12,133","$12,133",-,-
621,Queen Margot 2014 Re-release,"$12,005","$12,005",-,-
622,The Strange Little Cat,"$11,956","$5,885",50.8%,"$6,071"
623,Revenge of the Mekons,"$11,861","$11,861",-,-
624,The Great Invisible,"$11,428","$11,428",-,-
625,The Final Member,"$11,428","$11,428",-,-
626,Dishkiyaoon,"$11,288","$11,288",-,-
627,PAY 2 PLAY: Democracy's High Stakes,"$11,021","$11,021",-,-
628,Very Good Girls,"$10,963","$6,940",36.7%,"$4,023"
629,As It Is in Heaven,"$10,850","$10,850",-,-
630,Inside the Mind of Leonardo,"$10,600","$10,600",-,-
631,"Norte, the End of History","$10,457","$10,457",-,-
632,Moebius,"$10,254","$2,340",77.2%,"$7,914"
633,The Endless Summer,"$10,233","$10,233",-,-
634,Before I Disappear,"$10,078","$10,078",-,-
635,Kabbalah Me,"$9,816","$9,816",-,-
636,"If You Don't, I Will","$9,719","$9,719",-,-
637,In the House of Flies,"$9,480","$9,480",-,-
638,Radio Free Albemuth,"$9,365","$9,365",-,-
639,The Immortalists,"$9,331","$9,331",-,-
640,The Sacrament,"$9,221","$9,221",-,-
641,Faith Connections,"$9,111","$9,111",-,-
642,The Cabinet of Dr. Caligari 2014 Re-release,"$8,811","$8,811",-,-
643,Almost Human,"$8,608","$8,447",1.9%,$161
644,The Quitter,"$8,512","$8,512",-,-
645,The Empty Hours,"$8,478","$8,244",2.8%,$234
646,Canopy,"$8,462","$8,462",-,-
647,Red Hollywood,"$8,426","$8,426",-,-
648,Eternity: The Movie,"$8,350","$8,350",-,-
649,Gringo Trails,"$8,349","$8,349",-,-
650,Life Partners,"$8,265","$8,265",-,-
651,Next Year Jerusalem,"$8,093","$8,093",-,-
652,Archipelago 2014 Re-release,"$7,791","$7,791",-,-
653,Come Back to Me,"$7,744","$7,744",-,-
654,Young Ones,"$7,740",-,100%,"$7,740"
655,The Little Bedroom 2014 Re-release,"$7,440","$7,440",-,-
656,Raze,"$7,429","$7,429",-,-
657,I Am Ali,"$7,205","$7,205",-,-
658,The Strange Color of Your Body's Tears,"$7,182","$7,182",-,-
659,ABCs of Death 2,"$7,171","$7,171",-,-
660,Stage Fright,"$7,078","$7,078",-,-
661,"No God, No Master","$6,796","$6,796",-,-
662,Before You Know It,"$6,717","$6,717",-,-
663,Aatsinki: The Story of Arctic Cowboys,"$6,601","$6,601",-,-
664,Jews of Egypt,"$6,505","$6,505",-,-
665,Manuscripts Don't Burn,"$6,295","$6,295",-,-
666,Love & Air Sex,"$6,047","$6,047",-,-
667,Cavemen,"$5,948","$5,948",-,-
668,Gang of Ghosts,"$5,906","$5,906",-,-
669,Infliction,"$5,875","$5,875",-,-
670,Papirosen,"$5,658","$5,658",-,-
671,Kid Cannabis,"$5,565","$5,565",-,-
672,Flex Is Kings,"$5,418","$5,418",-,-
673,The Only Real Game,"$5,384","$5,384",-,-
674,Killers,"$5,248",-,100%,"$5,248"
675,Return to Nuke 'Em High Volume 1,"$5,122","$5,122",-,-
676,The Sleepwalker,"$5,012","$5,012",-,-
677,sxtape,"$4,961",-,100%,"$4,961"
678,Nothing Bad Can Happen,"$4,870","$4,870",-,-
679,"Half The Road: The Passion, Pitfalls & Power of Women's Professional Cycling","$4,783","$4,783",-,-
680,Death Metal Angola,"$4,674","$4,674",-,-
681,Smiling Through the Apocalypse,"$4,560","$4,560",-,-
682,Unrelated 2014 Re-release,"$4,529","$4,529",-,-
683,The Truth About Emanuel,"$4,404","$4,404",-,-
684,The Tower,"$4,305","$1,117",74.1%,"$3,188"
685,Free the Nipple,"$4,198","$4,198",-,-
686,Maidan,"$3,909","$3,909",-,-
687,Hollidaysburg,"$3,861","$3,861",-,-
688,The Word,"$3,648","$3,648",-,-
689,Stop The Pounding Heart,"$3,642","$3,642",-,-
690,Hide Your Smiling Faces,"$3,576","$3,576",-,-
691,Evolution of a Criminal,"$3,568","$3,568",-,-
692,Locker 13,"$3,496","$3,496",-,-
693,The Hacker Wars,"$3,470","$3,470",-,-
694,Aftermath,"$3,451","$3,451",-,-
695,Life's a Breeze 2014 Re-release,"$3,450","$3,450",-,-
696,Mahogany Sunrise,"$3,432","$3,432",-,-
697,The Girl on the Train,"$3,124","$3,124",-,-
698,Showrunners: The Art of Running a TV Show,"$3,100","$3,100",-,-
699,What Now? Remind Me,"$3,089","$3,089",-,-
700,A French Gigolo 2014 Re-release,"$3,021","$3,021",-,-
701,Fatal Assistance,"$3,000","$3,000",-,-
702,Black Out 2014 Re-release,"$2,734","$2,734",-,-
703,Refuge,"$2,631","$2,631",-,-
704,Indigo Children,"$2,621","$2,621",-,-
705,Jake Squared,"$2,592","$2,592",-,-
706,McCanick,"$2,572","$2,572",-,-
707,Two-Bit Waltz,"$2,540","$2,540",-,-
708,The Wait,"$2,480","$2,480",-,-
709,Evergreen: The Road to Legalization,"$2,363","$2,363",-,-
710,Missionary,"$2,120","$2,120",-,-
711,Algorithms,"$2,021","$2,021",-,-
712,More Than the Rainbow,"$1,677","$1,677",-,-
713,Rhymes for Young Ghouls,"$1,529","$1,529",-,-
714,Souldier,"$1,500","$1,500",-,-
715,We Are the Giant,"$1,088","$1,088",-,-
716,The Butterfly Room,"$1,081","$1,081",-,-
717,A People Uncounted,$930,$930,-,-
718,Jackpot 2014 Re-release,$806,$806,-,-
719,Skinless,$400,$400,-,-
720,Cinemanovels,$398,$398,-,-
721,"Mummy, I'm A Zombie",$120,$120,-,-
